window_key,window_label,LCLid,stdorToU,adf_statistic,p_value,failed_adf
pre_2011_2012,2011-2012 pre-drift,MAC002238,ToU,-5.74829970563039,6.048904673887367e-07,False
pre_2011_2012,2011-2012 pre-drift,MAC002265,ToU,-8.209874496200978,6.864285031856009e-13,False
pre_2011_2012,2011-2012 pre-drift,MAC002280,ToU,-7.507387255229709,4.1003416731987306e-11,False
pre_2011_2012,2011-2012 pre-drift,MAC002281,ToU,-7.682333332246145,1.4924940478390376e-11,False
pre_2011_2012,2011-2012 pre-drift,MAC002357,ToU,-3.8058784769228415,0.0028477398874547162,False
pre_2011_2012,2011-2012 pre-drift,MAC002418,ToU,-6.2735197551924715,3.951227884792716e-08,False
pre_2011_2012,2011-2012 pre-drift,MAC002448,ToU,-11.179536936616538,2.5211218735322536e-20,False
pre_2011_2012,2011-2012 pre-drift,MAC002490,ToU,-4.601574601304445,0.00012830918670087295,False
pre_2011_2012,2011-2012 pre-drift,MAC002496,ToU,-5.974999490815034,1.8967114448930422e-07,False
pre_2011_2012,2011-2012 pre-drift,MAC002552,ToU,-4.8952537894773585,3.562385985217958e-05,False
pre_2011_2012,2011-2012 pre-drift,MAC002574,ToU,-2.8608729773982033,0.050090796881759776,True
pre_2011_2012,2011-2012 pre-drift,MAC002602,ToU,-5.769886195811046,5.423244840279505e-07,False
pre_2011_2012,2011-2012 pre-drift,MAC002672,ToU,-5.423681905409856,3.020103638977561e-06,False
pre_2011_2012,2011-2012 pre-drift,MAC002798,ToU,-5.913803513095244,2.60126290903764e-07,False
pre_2011_2012,2011-2012 pre-drift,MAC002848,ToU,-8.679461627980013,4.3254854737372524e-14,False
pre_2011_2012,2011-2012 pre-drift,MAC002891,ToU,-11.011593284721103,6.305320640438725e-20,False
pre_2011_2012,2011-2012 pre-drift,MAC002930,ToU,-3.8846318566916564,0.002150904814366872,False
pre_2011_2012,2011-2012 pre-drift,MAC002932,ToU,-9.755993083569749,7.787180421527666e-17,False
pre_2011_2012,2011-2012 pre-drift,MAC002963,ToU,-10.046177525178193,1.4524515914183115e-17,False
pre_2011_2012,2011-2012 pre-drift,MAC002985,ToU,-12.64545509759195,1.4049753299607135e-23,False
pre_2011_2012,2011-2012 pre-drift,MAC003068,ToU,-4.504116637460795,0.00019329924527378893,False
pre_2011_2012,2011-2012 pre-drift,MAC003099,ToU,-10.432182496034134,1.6001055930994817e-18,False
pre_2011_2012,2011-2012 pre-drift,MAC003145,ToU,-6.15570848977558,7.377552145889808e-08,False
pre_2011_2012,2011-2012 pre-drift,MAC003151,ToU,-6.450005343498818,1.5318322632866806e-08,False
pre_2011_2012,2011-2012 pre-drift,MAC003175,ToU,-7.041202576500888,5.84057367202439e-10,False
pre_2011_2012,2011-2012 pre-drift,MAC003272,ToU,-5.980817802876284,1.840402385900774e-07,False
pre_2011_2012,2011-2012 pre-drift,MAC003298,ToU,-6.071739262832605,1.1465026667111393e-07,False
pre_2011_2012,2011-2012 pre-drift,MAC003315,ToU,-3.554342047044116,0.006696354868227654,False
pre_2011_2012,2011-2012 pre-drift,MAC003333,ToU,-5.380481478795046,3.7220515421145876e-06,False
pre_2011_2012,2011-2012 pre-drift,MAC003360,ToU,-5.193089430109155,9.082238399308395e-06,False
pre_2011_2012,2011-2012 pre-drift,MAC003387,ToU,-11.638304289305907,2.1776790081683415e-21,False
pre_2011_2012,2011-2012 pre-drift,MAC003390,ToU,-8.104759182358759,1.2716308951023557e-12,False
pre_2011_2012,2011-2012 pre-drift,MAC003396,ToU,-9.381426485945571,6.940475905923585e-16,False
pre_2011_2012,2011-2012 pre-drift,MAC003419,ToU,-4.144179417429604,0.0008178875906136735,False
pre_2011_2012,2011-2012 pre-drift,MAC003541,ToU,-5.036496735268206,1.8783433213110912e-05,False
pre_2011_2012,2011-2012 pre-drift,MAC003617,ToU,-3.9779900618791815,0.0015302496900698492,False
pre_2011_2012,2011-2012 pre-drift,MAC003634,ToU,-1.2380001232244957,0.6570392276384215,True
pre_2011_2012,2011-2012 pre-drift,MAC003648,ToU,-6.118239777084429,8.985409139270714e-08,False
pre_2011_2012,2011-2012 pre-drift,MAC003679,ToU,-11.939894696224254,4.569182609170839e-22,False
pre_2011_2012,2011-2012 pre-drift,MAC003682,ToU,-5.341418373181914,4.491492603125255e-06,False
pre_2011_2012,2011-2012 pre-drift,MAC003738,ToU,-5.850688786229656,3.5953076082040217e-07,False
pre_2011_2012,2011-2012 pre-drift,MAC003769,ToU,-3.627900267158338,0.005249498123946873,False
pre_2011_2012,2011-2012 pre-drift,MAC003848,ToU,-2.2915688311625106,0.17470161165149795,True
pre_2011_2012,2011-2012 pre-drift,MAC003895,ToU,-4.1547117515614405,0.000785372920708169,False
pre_2011_2012,2011-2012 pre-drift,MAC003911,ToU,-10.987276039770727,7.206284853969039e-20,False
pre_2011_2012,2011-2012 pre-drift,MAC003973,ToU,-5.816787580303771,4.27398266247431e-07,False
pre_2011_2012,2011-2012 pre-drift,MAC004000,ToU,-4.194813256665835,0.0006723481005906082,False
pre_2011_2012,2011-2012 pre-drift,MAC004100,ToU,-4.287971148482698,0.0004660075586782252,False
pre_2011_2012,2011-2012 pre-drift,MAC004144,ToU,-8.981513440083676,7.288671898237146e-15,False
pre_2011_2012,2011-2012 pre-drift,MAC004152,ToU,-10.763410481348155,2.487421966788267e-19,False
pre_2011_2012,2011-2012 pre-drift,MAC004155,ToU,-4.325999957043989,0.0004003473420179118,False
pre_2011_2012,2011-2012 pre-drift,MAC004184,ToU,-9.046054140414478,4.983405060470733e-15,False
pre_2011_2012,2011-2012 pre-drift,MAC004258,ToU,-6.170717843948994,6.815957122882639e-08,False
pre_2011_2012,2011-2012 pre-drift,MAC004331,ToU,-9.68882834687745,1.151051338635502e-16,False
pre_2011_2012,2011-2012 pre-drift,MAC004374,ToU,-6.018910471119135,1.510181988784463e-07,False
pre_2011_2012,2011-2012 pre-drift,MAC004396,ToU,-3.028982389453331,0.0322750313025026,False
pre_2011_2012,2011-2012 pre-drift,MAC004400,ToU,-6.991835576096025,7.709336823437409e-10,False
pre_2011_2012,2011-2012 pre-drift,MAC004408,ToU,-4.892595625019683,3.60503695822423e-05,False
pre_2011_2012,2011-2012 pre-drift,MAC004506,ToU,-10.403752182274491,1.8800112029837455e-18,False
pre_2011_2012,2011-2012 pre-drift,MAC004525,ToU,-8.96317506829387,8.120435955619883e-15,False
pre_2011_2012,2011-2012 pre-drift,MAC004606,ToU,-7.9026352675700196,4.145803501919284e-12,False
pre_2011_2012,2011-2012 pre-drift,MAC004709,ToU,-16.38977442275788,2.701178549172309e-29,False
pre_2011_2012,2011-2012 pre-drift,MAC004751,ToU,-6.816492190850445,2.0528687373622864e-09,False
pre_2011_2012,2011-2012 pre-drift,MAC004762,ToU,-8.308108646856443,3.8542480867774666e-13,False
pre_2011_2012,2011-2012 pre-drift,MAC004821,ToU,-8.286051284347025,4.387860109610074e-13,False
pre_2011_2012,2011-2012 pre-drift,MAC004827,ToU,-6.813351213203943,2.0889970023099995e-09,False
pre_2011_2012,2011-2012 pre-drift,MAC004851,ToU,-10.492585866466666,1.1368766719982575e-18,False
