method,round,node_id,node_type,relative_change_pct,eligible_for_selective_retraining,raw_triggered,triggered
FedAvg,10,node_tou_5,ToU,14.588719441505274,True,True,False
FedAvg,10,node_tou_6,ToU,11.214805946702297,True,True,False
FLAST,1,node_std_0,Std,15.51207078106266,False,True,False
FLAST,1,node_std_1,Std,32.45018513870847,False,True,False
FLAST,1,node_std_2,Std,-5.805543115772826,False,False,False
FLAST,1,node_tou_0,ToU,-7.9315181229296305,True,False,False
FLAST,1,node_tou_1,ToU,-6.292619638195126,True,False,False
FLAST,1,node_tou_2,ToU,-13.211913933797392,True,False,False
FLAST,1,node_tou_3,ToU,-2.604740022538905,True,False,False
FLAST,1,node_tou_4,ToU,13.987834840853772,True,True,True
FLAST,1,node_tou_5,ToU,-0.23576585373329767,True,False,False
FLAST,1,node_tou_6,ToU,-9.148248663176858,True,False,False
FLAST,2,node_std_0,Std,13.394578819261321,False,True,False
FLAST,2,node_std_1,Std,7.078850003032697,False,True,False
FLAST,2,node_std_2,Std,2.198722454337204,False,False,False
FLAST,2,node_tou_0,ToU,-11.615141693816016,True,False,False
FLAST,2,node_tou_1,ToU,-5.379595484659931,True,False,False
FLAST,2,node_tou_2,ToU,-13.192196889943201,True,False,False
FLAST,2,node_tou_3,ToU,-10.397599262177518,True,False,False
FLAST,2,node_tou_4,ToU,8.01034566350172,True,True,True
FLAST,2,node_tou_5,ToU,7.64728577637758,True,True,True
FLAST,2,node_tou_6,ToU,3.9521570133996633,True,False,False
FLAST,3,node_std_0,Std,-0.07700687420443456,False,False,False
FLAST,3,node_std_1,Std,7.918592207743523,False,True,False
FLAST,3,node_std_2,Std,1.336712727935869,False,False,False
FLAST,3,node_tou_0,ToU,-13.499233010964298,True,False,False
FLAST,3,node_tou_1,ToU,4.1322857627458305,True,False,False
FLAST,3,node_tou_2,ToU,-8.266995562864361,True,False,False
FLAST,3,node_tou_3,ToU,-7.447336039170828,True,False,False
FLAST,3,node_tou_4,ToU,5.136040330342679,True,True,True
FLAST,3,node_tou_5,ToU,3.4082358369417856,True,False,False
FLAST,3,node_tou_6,ToU,6.785186808115237,True,True,True
FLAST,4,node_std_0,Std,10.010372246870885,False,True,False
FLAST,4,node_std_1,Std,-0.6728962093636535,False,False,False
FLAST,4,node_std_2,Std,-1.2388404900586938,False,False,False
FLAST,4,node_tou_0,ToU,-18.252931826662117,True,False,False
FLAST,4,node_tou_1,ToU,8.47686910702577,True,True,True
FLAST,4,node_tou_2,ToU,-6.738466584633536,True,False,False
FLAST,4,node_tou_3,ToU,-12.223205796593867,True,False,False
