LCLid,stdorToU,window_key,window_label,observed_hours_before_fill,expected_hours,raw_missing_rate,filled_missing_rate
MAC002238,ToU,pre_2011_2012,2011-2012 pre-drift,6047,9720,0.377880658436214,0.0
MAC002265,ToU,pre_2011_2012,2011-2012 pre-drift,6023,9720,0.38034979423868315,0.0
MAC002280,ToU,pre_2011_2012,2011-2012 pre-drift,6023,9720,0.38034979423868315,0.0
MAC002281,ToU,pre_2011_2012,2011-2012 pre-drift,6023,9720,0.38034979423868315,0.0
MAC002357,ToU,pre_2011_2012,2011-2012 pre-drift,5879,9720,0.39516460905349793,0.0
MAC002418,ToU,pre_2011_2012,2011-2012 pre-drift,5759,9720,0.4075102880658436,0.0
MAC002448,ToU,pre_2011_2012,2011-2012 pre-drift,5711,9720,0.41244855967078187,0.0
MAC002490,ToU,pre_2011_2012,2011-2012 pre-drift,4247,9720,0.5630658436213992,0.0
MAC002496,ToU,pre_2011_2012,2011-2012 pre-drift,4223,9720,0.5655349794238683,0.0
MAC002552,ToU,pre_2011_2012,2011-2012 pre-drift,4199,9720,0.5680041152263374,0.0
MAC002574,ToU,pre_2011_2012,2011-2012 pre-drift,4127,9720,0.5754115226337448,0.0
MAC002602,ToU,pre_2011_2012,2011-2012 pre-drift,4175,9720,0.5704732510288066,0.0
MAC002672,ToU,pre_2011_2012,2011-2012 pre-drift,5711,9720,0.41244855967078187,0.0
MAC002798,ToU,pre_2011_2012,2011-2012 pre-drift,5471,9720,0.4371399176954732,0.0
MAC002848,ToU,pre_2011_2012,2011-2012 pre-drift,5615,9720,0.42232510288065844,0.0
MAC002891,ToU,pre_2011_2012,2011-2012 pre-drift,4295,9720,0.5581275720164609,0.0
MAC002930,ToU,pre_2011_2012,2011-2012 pre-drift,4367,9720,0.5507201646090535,0.0
MAC002932,ToU,pre_2011_2012,2011-2012 pre-drift,4367,9720,0.5507201646090535,0.0
MAC002963,ToU,pre_2011_2012,2011-2012 pre-drift,4247,9720,0.5630658436213992,0.0
MAC002985,ToU,pre_2011_2012,2011-2012 pre-drift,4271,9720,0.56059670781893,0.0
MAC003068,ToU,pre_2011_2012,2011-2012 pre-drift,5495,9720,0.4346707818930041,0.0
MAC003099,ToU,pre_2011_2012,2011-2012 pre-drift,5471,9720,0.4371399176954732,0.0
MAC003145,ToU,pre_2011_2012,2011-2012 pre-drift,4055,9720,0.5828189300411523,0.0
MAC003151,ToU,pre_2011_2012,2011-2012 pre-drift,4031,9720,0.5852880658436214,0.0
MAC003175,ToU,pre_2011_2012,2011-2012 pre-drift,2639,9720,0.7284979423868313,0.0
MAC003272,ToU,pre_2011_2012,2011-2012 pre-drift,2423,9720,0.7507201646090536,0.0
MAC003298,ToU,pre_2011_2012,2011-2012 pre-drift,2303,9720,0.7630658436213992,0.0
MAC003315,ToU,pre_2011_2012,2011-2012 pre-drift,2351,9720,0.7581275720164609,0.0
MAC003333,ToU,pre_2011_2012,2011-2012 pre-drift,2327,9720,0.7605967078189301,0.0
MAC003360,ToU,pre_2011_2012,2011-2012 pre-drift,2279,9720,0.7655349794238683,0.0
MAC003387,ToU,pre_2011_2012,2011-2012 pre-drift,2207,9720,0.7729423868312757,0.0
MAC003390,ToU,pre_2011_2012,2011-2012 pre-drift,2207,9720,0.7729423868312757,0.0
MAC003396,ToU,pre_2011_2012,2011-2012 pre-drift,2255,9720,0.7680041152263375,0.0
MAC003419,ToU,pre_2011_2012,2011-2012 pre-drift,2159,9720,0.777880658436214,0.0
MAC003541,ToU,pre_2011_2012,2011-2012 pre-drift,1991,9720,0.795164609053498,0.0
MAC003617,ToU,pre_2011_2012,2011-2012 pre-drift,1799,9720,0.814917695473251,0.0
MAC003634,ToU,pre_2011_2012,2011-2012 pre-drift,1919,9720,0.8025720164609054,0.0
MAC003648,ToU,pre_2011_2012,2011-2012 pre-drift,1871,9720,0.8075102880658436,0.0
MAC003679,ToU,pre_2011_2012,2011-2012 pre-drift,1775,9720,0.8173868312757202,0.0
MAC003682,ToU,pre_2011_2012,2011-2012 pre-drift,1823,9720,0.8124485596707819,0.0
MAC003738,ToU,pre_2011_2012,2011-2012 pre-drift,1775,9720,0.8173868312757202,0.0
MAC003769,ToU,pre_2011_2012,2011-2012 pre-drift,1751,9720,0.8198559670781893,0.0
MAC003848,ToU,pre_2011_2012,2011-2012 pre-drift,1607,9720,0.8346707818930041,0.0
MAC003895,ToU,pre_2011_2012,2011-2012 pre-drift,1512,9720,0.8444444444444444,0.0
MAC003911,ToU,pre_2011_2012,2011-2012 pre-drift,1559,9720,0.8396090534979423,0.0
MAC003973,ToU,pre_2011_2012,2011-2012 pre-drift,3935,9720,0.595164609053498,0.0
MAC004000,ToU,pre_2011_2012,2011-2012 pre-drift,4271,9720,0.56059670781893,0.0
MAC004100,ToU,pre_2011_2012,2011-2012 pre-drift,5447,9720,0.4396090534979424,0.0
MAC004144,ToU,pre_2011_2012,2011-2012 pre-drift,5351,9720,0.44948559670781896,0.0
MAC004152,ToU,pre_2011_2012,2011-2012 pre-drift,5279,9720,0.4568930041152263,0.0
MAC004155,ToU,pre_2011_2012,2011-2012 pre-drift,5279,9720,0.4568930041152263,0.0
MAC004184,ToU,pre_2011_2012,2011-2012 pre-drift,5303,9720,0.4544238683127572,0.0
MAC004258,ToU,pre_2011_2012,2011-2012 pre-drift,5255,9720,0.4593621399176955,0.0
MAC004331,ToU,pre_2011_2012,2011-2012 pre-drift,6887,9720,0.29146090534979424,0.0
MAC004374,ToU,pre_2011_2012,2011-2012 pre-drift,6911,9720,0.2889917695473251,0.0
MAC004396,ToU,pre_2011_2012,2011-2012 pre-drift,6863,9720,0.2939300411522634,0.0
MAC004400,ToU,pre_2011_2012,2011-2012 pre-drift,6863,9720,0.2939300411522634,0.0
MAC004408,ToU,pre_2011_2012,2011-2012 pre-drift,6743,9720,0.3062757201646091,0.0
MAC004506,ToU,pre_2011_2012,2011-2012 pre-drift,8975,9720,0.07664609053497942,0.0
MAC004525,ToU,pre_2011_2012,2011-2012 pre-drift,8879,9720,0.08652263374485597,0.0
MAC004606,ToU,pre_2011_2012,2011-2012 pre-drift,4151,9720,0.5729423868312757,0.0
MAC004709,ToU,pre_2011_2012,2011-2012 pre-drift,4055,9720,0.5828189300411523,0.0
MAC004751,ToU,pre_2011_2012,2011-2012 pre-drift,6455,9720,0.3359053497942387,0.0
MAC004762,ToU,pre_2011_2012,2011-2012 pre-drift,6479,9720,0.33343621399176954,0.0
MAC004821,ToU,pre_2011_2012,2011-2012 pre-drift,6407,9720,0.34084362139917695,0.0
MAC004827,ToU,pre_2011_2012,2011-2012 pre-drift,6455,9720,0.3359053497942387,0.0
MAC004851,ToU,pre_2011_2012,2011-2012 pre-drift,8735,9720,0.10133744855967078,0.0
MAC004965,ToU,pre_2011_2012,2011-2012 pre-drift,8231,9720,0.15318930041152262,0.0
MAC005022,ToU,pre_2011_2012,2011-2012 pre-drift,7991,9720,0.17788065843621398,0.0
MAC005069,ToU,pre_2011_2012,2011-2012 pre-drift,5183,9720,0.4667695473251029,0.0
MAC005070,ToU,pre_2011_2012,2011-2012 pre-drift,5087,9720,0.4766460905349794,0.0
MAC005080,ToU,pre_2011_2012,2011-2012 pre-drift,5087,9720,0.4766460905349794,0.0
MAC005083,ToU,pre_2011_2012,2011-2012 pre-drift,5039,9720,0.4815843621399177,0.0
MAC005124,ToU,pre_2011_2012,2011-2012 pre-drift,5039,9720,0.4815843621399177,0.0
MAC005162,ToU,pre_2011_2012,2011-2012 pre-drift,5111,9720,0.4741769547325103,0.0
MAC005250,ToU,pre_2011_2012,2011-2012 pre-drift,7823,9720,0.19516460905349794,0.0
MAC005321,ToU,pre_2011_2012,2011-2012 pre-drift,7295,9720,0.24948559670781892,0.0
MAC005341,ToU,pre_2011_2012,2011-2012 pre-drift,7535,9720,0.22479423868312756,0.0
MAC005429,ToU,pre_2011_2012,2011-2012 pre-drift,6167,9720,0.3655349794238683,0.0
MAC005449,ToU,pre_2011_2012,2011-2012 pre-drift,6047,9720,0.377880658436214,0.0
MAC005498,ToU,pre_2011_2012,2011-2012 pre-drift,6047,9720,0.377880658436214,0.0
MAC005537,ToU,pre_2011_2012,2011-2012 pre-drift,6095,9720,0.37294238683127573,0.0
MAC005538,ToU,pre_2011_2012,2011-2012 pre-drift,6119,9720,0.37047325102880657,0.0
