LCLid,stdorToU,window_key,window_label,observed_hours_before_fill,expected_hours,raw_missing_rate,filled_missing_rate
MAC001318,ToU,post_2014,2014 post-drift (Jan-Feb only),1296,1416,0.0847457627118644,0.0
MAC001372,ToU,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC001383,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC001437,ToU,post_2014,2014 post-drift (Jan-Feb only),1248,1416,0.11864406779661017,0.0
MAC001495,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC001556,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC001715,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC001756,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC001770,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC001773,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC001806,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC001823,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC001826,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC001853,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC001855,ToU,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC002040,ToU,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC002046,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC002052,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC002073,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC002102,ToU,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC002182,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC002222,ToU,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC002238,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC002265,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC002280,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC002281,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC002357,ToU,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC002418,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC002448,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC002490,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC002496,ToU,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC002552,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC002574,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC002602,ToU,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC002672,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC002798,ToU,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC002848,ToU,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC002891,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC002930,ToU,post_2014,2014 post-drift (Jan-Feb only),1272,1416,0.1016949152542373,0.0
MAC002932,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC002963,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC002985,ToU,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC003068,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC003099,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC003145,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC003151,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC003175,ToU,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC003272,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC003298,ToU,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC003315,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC003333,ToU,post_2014,2014 post-drift (Jan-Feb only),1320,1416,0.06779661016949153,0.0
MAC003360,ToU,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC003387,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC003390,ToU,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC003396,ToU,post_2014,2014 post-drift (Jan-Feb only),1296,1416,0.0847457627118644,0.0
MAC003419,ToU,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC003541,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC003617,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC003634,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC003648,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC003679,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC003682,ToU,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC003738,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC003769,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC003848,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC003895,ToU,post_2014,2014 post-drift (Jan-Feb only),1200,1416,0.15254237288135594,0.0
MAC003911,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC003973,ToU,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC004000,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC004100,ToU,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC004144,ToU,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC004152,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC004155,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC004184,ToU,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
