LCLid,pre_2011_2012_days,drift_2013_days,post_2014_days
MAC000750,256,365,59
MAC000751,255,365,59
MAC000752,256,365,59
MAC000753,255,365,59
MAC000754,256,365,59
MAC000755,256,365,59
MAC000756,256,365,59
MAC000757,256,365,59
MAC000758,256,319,0
MAC000759,256,365,58
MAC000760,256,365,23
MAC000761,256,365,59
MAC000762,256,365,59
MAC000763,255,365,59
MAC000764,255,365,59
MAC000765,255,365,59
MAC000766,256,365,59
MAC000767,256,365,59
MAC000768,256,365,59
MAC000769,255,365,59
MAC000770,255,16,0
MAC000771,256,365,59
MAC000772,256,365,59
MAC000773,256,365,59
MAC000774,256,327,0
MAC000775,256,364,59
MAC000776,256,365,59
MAC000777,256,365,59
MAC000778,256,365,59
MAC000779,256,365,59
MAC000780,255,365,59
MAC000781,256,365,59
MAC000782,256,365,59
MAC000783,256,365,59
MAC000784,256,365,59
MAC000785,256,365,59
MAC000786,256,365,59
MAC000787,256,365,59
MAC000788,256,289,0
MAC000789,256,365,59
MAC000790,256,365,59
MAC000791,256,365,51
MAC000792,255,365,59
MAC000793,255,365,59
MAC000794,252,365,59
MAC000795,251,365,59
MAC000796,251,365,59
MAC000797,251,365,35
MAC000798,251,365,59
MAC000799,251,365,59
MAC000800,251,365,59
MAC000801,251,365,59
MAC000802,251,365,59
MAC000803,251,365,59
MAC000804,250,365,59
MAC000805,251,365,59
MAC000806,251,365,59
MAC000807,251,365,59
MAC000808,251,365,59
MAC000809,251,365,59
MAC000810,251,365,59
MAC000811,251,365,59
MAC000812,251,365,59
MAC000813,251,208,0
MAC000814,249,365,59
MAC000815,250,365,59
MAC000816,248,365,59
MAC000817,251,365,59
MAC000818,251,365,18
MAC000819,251,365,59
MAC000820,251,365,59
MAC000821,250,365,59
MAC000822,251,365,59
MAC000823,250,365,59
MAC000824,251,365,59
MAC000825,251,365,59
MAC000826,251,365,59
MAC000827,251,365,59
MAC000828,251,365,59
MAC000829,250,365,59
MAC000830,250,365,59
MAC000831,250,365,59
MAC000832,250,365,59
MAC000833,249,365,59
MAC000834,250,365,59
MAC000835,250,365,59
MAC000836,250,365,59
MAC000837,250,365,59
MAC000838,250,365,59
MAC000839,250,365,59
MAC000840,250,365,59
MAC000841,249,365,59
MAC000842,250,365,59
MAC000843,250,365,59
MAC000844,249,365,59
MAC000845,250,365,59
MAC000846,250,365,59
MAC000847,249,365,59
MAC000848,250,365,59
MAC000849,250,365,59
MAC000850,250,365,59
MAC000851,250,365,59
MAC000852,250,365,59
MAC000853,250,365,59
MAC000854,250,365,59
MAC000855,250,365,59
MAC000856,250,365,59
MAC000857,250,365,59
MAC000858,250,365,59
MAC000859,250,365,59
MAC000860,250,365,59
MAC000861,250,365,59
MAC000862,249,365,59
MAC000863,250,228,0
MAC000864,249,365,59
MAC000865,250,207,0
MAC000866,250,365,59
MAC000867,250,365,59
MAC000868,249,365,59
MAC000869,250,365,59
MAC000870,250,365,59
MAC000871,250,365,59
MAC000872,250,365,59
MAC000873,250,365,59
MAC000874,250,365,59
MAC000875,249,365,59
MAC000876,249,365,59
MAC000877,249,365,59
MAC000878,249,365,59
MAC000879,249,234,0
MAC000880,249,365,59
MAC000881,249,273,0
MAC000882,249,365,59
MAC000883,248,49,0
