LCLid,stdorToU,Acorn,Acorn_grouped,file,pre_2011_2012_days,drift_2013_days,post_2014_days,pre_mean,pre_std,drift_mean,drift_std,mean_shift_pct,std_shift_pct,shift_score
MAC004904,Std,ACORN-E,Affluent,block_28,349,365,59,0.037607640229542424,0.006019902824704913,0.03790593607305931,0.006020950491187474,0.7931788373218935,0.017403378643622597,0.8105822159655162
MAC004927,Std,ACORN-D,Affluent,block_8,347,365,59,0.16030792190518411,0.06509304524436028,0.15816409817351595,0.0655471212963131,1.3373161514352034,0.6975799799321207,2.034896131367324
MAC004974,Std,ACORN-E,Affluent,block_30,342,365,59,0.17221708971009078,0.03122961647711201,0.17433538813356161,0.03126410569838793,1.2300163863161102,0.1104375434811913,1.3404539297973015
MAC004998,Std,ACORN-E,Affluent,block_29,340,365,59,0.146519774918672,0.012382704584582281,0.1439489701911493,0.012391863342644941,1.7545786764616957,0.07396411664430344,1.8285427931059992
MAC005363,Std,ACORN-U,ACORN-U,block_110,314,365,59,0.31120631349256644,0.07852482478693447,0.31021624652397256,0.07948794410714854,0.3181384585301906,1.2265157201271804,1.544654178657371
MAC005520,Std,ACORN-O,Adversity,block_90,258,365,59,0.12319515828842556,0.03128250066226437,0.12331506854452051,0.030734037526678765,0.09733357849520087,1.7532586077660055,1.8505921862612065
MAC000048,ToU,ACORN-E,Affluent,block_20,390,365,59,0.15269147624907095,0.08899136642021106,0.1227135844920091,0.0537175861659532,19.632983119608976,39.637306036742395,59.27028915635137
MAC000052,ToU,ACORN-D,Affluent,block_9,390,365,59,0.12961191144183903,0.07511510838415258,0.14406055689764885,0.11133864541701578,11.147621615235094,48.224036165413374,59.37165778064847
MAC000082,ToU,ACORN-E,Affluent,block_20,388,365,59,0.11186683541824119,0.03896375883839889,0.059518363185174346,0.030491015946421403,46.79534558866302,21.745188720415698,68.54053430907871
MAC000165,ToU,ACORN-E,Affluent,block_20,404,365,59,0.1817354502456595,0.024438392263419387,0.25910039951484015,0.04219848997673099,42.570092496870124,72.67293822718368,115.2430307240538
MAC000198,ToU,ACORN-F,Comfortable,block_50,400,365,59,0.172074832056041,0.12119062078049217,0.349713272358156,0.2789728185430907,103.23324926695967,130.19340667326333,233.426655940223
MAC000293,ToU,ACORN-Q,Adversity,block_109,305,365,59,0.14496998740409714,0.02557213923779203,0.1478457240185077,0.039264620259262785,1.983677218922966,53.54452708921274,55.528204308135706
MAC000354,ToU,ACORN-L,Adversity,block_78,298,365,59,0.26550472589559315,0.21366977090387598,0.3607436305054406,0.3158963560706938,35.870888658795145,47.84326052972961,83.71414918852476
MAC000395,ToU,ACORN-L,Adversity,block_78,294,365,59,0.26043878156256844,0.02498029803841535,0.23283012118745747,0.03763917992829726,10.600825349230183,50.675463801171446,61.27628915040163
MAC000451,ToU,ACORN-H,Comfortable,block_63,284,365,59,0.28864973308407627,0.13139313766021263,0.35982743223948604,0.17840891445309157,24.658848076841124,35.78252078465729,60.44136886149841
MAC000470,ToU,ACORN-G,Comfortable,block_57,284,365,59,0.17871276991943477,0.030274862174027358,0.16017752234528318,0.044327446339432766,10.371529456181245,46.416674284519274,56.78820374070052
MAC000523,ToU,ACORN-E,Affluent,block_16,280,365,59,0.14941675207474742,0.06535981176177795,0.2261058603291102,0.1414425872346877,51.32564266689334,116.40605047978814,167.73169314668147
MAC000561,ToU,ACORN-E,Affluent,block_16,265,365,59,0.21343599229089005,0.0882030240405673,0.16374291760445092,0.03739204939031771,23.282424933613292,57.60683967805916,80.88926461167244
MAC000587,ToU,ACORN-O,Adversity,block_89,264,365,59,0.05734244959569092,0.014565731509897973,0.06613869863013695,0.021320838656117537,15.339855720267384,46.37671058009829,61.71656630036567
MAC000617,ToU,ACORN-P,Adversity,block_93,263,365,59,0.06918076909169353,0.01118746651575232,0.09246922787331192,0.01899610285233401,33.663197283556386,69.798075601718,103.46127288527438
MAC000628,ToU,ACORN-E,Affluent,block_16,263,365,59,0.2746540919024118,0.2016247964127675,0.37958432352317845,0.27442718026775953,38.204503305943724,36.10785238237788,74.3123556883216
MAC000640,ToU,ACORN-E,Affluent,block_16,263,365,59,0.1687310295730748,0.08234173975688852,0.13685233045589235,0.04493348027052572,18.893204882256864,45.43049442094562,64.32369930320249
MAC000681,ToU,ACORN-E,Affluent,block_15,258,365,59,0.3120654056566163,0.14714134938064027,0.24008223185660155,0.0770455947945043,23.066694511862043,47.638379613337044,70.70507412519909
MAC000755,ToU,ACORN-E,Affluent,block_16,256,365,59,0.2809295561927713,0.11153117755836364,0.41108727171803655,0.14098912440910955,46.331086443589506,26.412297884446456,72.74338432803596
MAC000772,ToU,ACORN-E,Affluent,block_16,256,365,59,0.10128346436575873,0.057657777175591264,0.12875764836187212,0.07522952306412634,27.126031053694565,30.475933602195582,57.60196465589014
MAC000817,ToU,ACORN-E,Affluent,block_16,251,365,59,0.21586645542589808,0.13953268374513308,0.3133309834752987,0.22358612018667542,45.15038145093271,60.239245878099965,105.38962732903268
MAC000828,ToU,ACORN-E,Affluent,block_17,251,365,59,0.4218515391832644,0.2800860545238738,0.5315406603398468,0.3827753102377238,26.001830257381215,36.66346612237242,62.665296379753634
MAC000895,ToU,ACORN-E,Affluent,block_17,249,365,59,0.02538000381324758,0.017616139504980415,0.01684060890896723,0.013667718676038372,33.64615296008366,22.413655544824394,56.059808504908055
