LCLid,node_id,node_type,node_index,node_household_count,stdorToU,Acorn_grouped,file,shift_score
MAC003911,node_tou_3,ToU,3,20,ToU,Adversity,block_79,74.05645611423682
MAC004184,node_tou_3,ToU,3,20,ToU,Affluent,block_34,169.9526225571185
MAC004762,node_tou_3,ToU,3,20,ToU,Comfortable,block_61,75.7227816067196
MAC004821,node_tou_3,ToU,3,20,ToU,Adversity,block_81,76.02057413199559
MAC005070,node_tou_3,ToU,3,20,ToU,Affluent,block_12,66.51303657287652
MAC000082,node_tou_4,ToU,4,20,ToU,Affluent,block_20,68.54053430907871
MAC000587,node_tou_4,ToU,4,20,ToU,Adversity,block_89,61.71656630036567
MAC000755,node_tou_4,ToU,4,20,ToU,Affluent,block_16,72.74338432803596
MAC000772,node_tou_4,ToU,4,20,ToU,Affluent,block_16,57.60196465589014
MAC001372,node_tou_4,ToU,4,20,ToU,Comfortable,block_54,193.9937600055045
MAC001437,node_tou_4,ToU,4,20,ToU,Affluent,block_10,72.88776369818156
MAC002052,node_tou_4,ToU,4,20,ToU,Affluent,block_42,83.15749030658986
MAC002357,node_tou_4,ToU,4,20,ToU,Adversity,block_100,370.9632479490184
MAC002496,node_tou_4,ToU,4,20,ToU,Comfortable,block_61,92.45305620268542
MAC002848,node_tou_4,ToU,4,20,ToU,Adversity,block_75,128.74179670068787
MAC003151,node_tou_4,ToU,4,20,ToU,Comfortable,block_72,62.50314823474049
MAC003390,node_tou_4,ToU,4,20,ToU,Adversity,block_91,178.85851725540738
MAC003973,node_tou_4,ToU,4,20,ToU,Comfortable,block_73,252.44038476775177
MAC004000,node_tou_4,ToU,4,20,ToU,Affluent,block_36,61.73873619869104
MAC004152,node_tou_4,ToU,4,20,ToU,Affluent,block_35,55.58270639525132
MAC004331,node_tou_4,ToU,4,20,ToU,Adversity,block_94,58.48588903179822
MAC004396,node_tou_4,ToU,4,20,ToU,Comfortable,block_48,59.141585690988855
MAC004408,node_tou_4,ToU,4,20,ToU,Affluent,block_3,60.42099068133463
MAC004827,node_tou_4,ToU,4,20,ToU,Affluent,block_34,73.34400354551589
MAC005083,node_tou_4,ToU,4,20,ToU,Affluent,block_42,69.11710886400222
MAC000048,node_tou_5,ToU,5,20,ToU,Affluent,block_20,59.27028915635137
MAC000165,node_tou_5,ToU,5,20,ToU,Affluent,block_20,115.2430307240538
MAC000198,node_tou_5,ToU,5,20,ToU,Comfortable,block_50,233.426655940223
MAC000354,node_tou_5,ToU,5,20,ToU,Adversity,block_78,83.71414918852476
MAC000451,node_tou_5,ToU,5,20,ToU,Comfortable,block_63,60.44136886149841
MAC000470,node_tou_5,ToU,5,20,ToU,Comfortable,block_57,56.78820374070052
MAC000939,node_tou_5,ToU,5,20,ToU,Affluent,block_17,144.0138372004389
MAC000945,node_tou_5,ToU,5,20,ToU,Affluent,block_17,68.73158171182075
MAC001091,node_tou_5,ToU,5,20,ToU,Comfortable,block_61,166.63772713753855
MAC001182,node_tou_5,ToU,5,20,ToU,Affluent,block_43,60.065907226525226
MAC001383,node_tou_5,ToU,5,20,ToU,Adversity,block_105,66.54037413084686
MAC001773,node_tou_5,ToU,5,20,ToU,Adversity,block_107,63.87945298162238
MAC002222,node_tou_5,ToU,5,20,ToU,Comfortable,block_61,55.77334008985027
MAC002280,node_tou_5,ToU,5,20,ToU,Affluent,block_33,103.30004973404232
MAC002418,node_tou_5,ToU,5,20,ToU,Adversity,block_91,66.08862427420837
MAC002602,node_tou_5,ToU,5,20,ToU,Comfortable,block_63,366.56597854455356
MAC004525,node_tou_5,ToU,5,20,ToU,Affluent,block_37,59.07186459284714
MAC005250,node_tou_5,ToU,5,20,ToU,Affluent,block_39,61.31433204005593
MAC005429,node_tou_5,ToU,5,20,ToU,Comfortable,block_45,119.27874056404062
MAC005537,node_tou_5,ToU,5,20,ToU,Comfortable,block_45,67.18717343314047
MAC000052,node_tou_6,ToU,6,20,ToU,Affluent,block_9,59.37165778064847
MAC000523,node_tou_6,ToU,6,20,ToU,Affluent,block_16,167.73169314668147
MAC001495,node_tou_6,ToU,6,20,ToU,Affluent,block_12,119.33482015906873
MAC001715,node_tou_6,ToU,6,20,ToU,Adversity,block_107,137.772582676048
MAC001855,node_tou_6,ToU,6,20,ToU,Affluent,block_43,368.2226721643824
MAC002182,node_tou_6,ToU,6,20,ToU,Comfortable,block_52,109.79320907959436
MAC002891,node_tou_6,ToU,6,20,ToU,Affluent,block_11,79.14234668752218
MAC002932,node_tou_6,ToU,6,20,ToU,Comfortable,block_51,56.38966146894665
